name,width,height,play_id,parent,has_night_mode,duration,fade_in,fade_out
msk_kiev2_s,384,672,224,960x1728,0,60,5,5
dss4,432,360,133,,0,60,5,5
msk_gorki,448,512,153,720x760,0,60,5,5
lenin,448,1024,105,960x2016,1,60,5,5
nsk_gogol_double,480,216,267,3200x1472,1,60,5,5
vrz_patriot_3a,480,240,244,864x432,0,60,5,5
buzuluk,480,820,214,960x1728,0,60,5,5
bizpark,480,1200,138,960x2016,0,60,5,5
nnd_belin122,512,576,207,720x760,0,60,5,5
nnd_mgorki150,512,1344,209,960x2016,0,60,5,5
dss5,576,320,57,1536x864,0,60,5,5
dss576_384,576,384,290,,0,60,5,5
dss5_4,576,432,161,896x704,0,60,5,5
dss6,600,360,74,1536x864,0,60,5,5
ekb,600,448,25,896x704,0,60,5,5
chl_kashir_137,600,600,304,,0,60,5,5
smr,624,672,29,720x760,0,60,5,5
nnd_revol7,640,768,208,720x760,0,60,5,5
gorod_b,640,1088,130,960x1728,0,60,5,5
nnd_komsomol1a,640,1344,211,960x2016,0,60,5,5
krd_golovatogo_s,660,480,259,896x704,0,60,5,5
chl_kashir_143,704,320,306,,0,60,5,5
dss7,704,384,99,1536x864,0,60,5,5
dss720_240,720,240,307,,0,60,5,5
chl,720,256,32,2880x960,1,60,5,5
dss7_3,720,360,146,864x432,0,60,5,5
dss720_480,720,480,289,,0,60,5,5
dss7_5,720,540,134,896x704,0,60,5,5
tulsk,720,760,104,720x760,1,60,5,5
dss768_384,768,384,296,864x432,0,60,5,5
riv_s,768,416,66,,1,60,5,5
dss768_576,768,576,287,896x704,0,60,5,5
dss8_5,800,560,218,880x560,0,60,5,5
han,816,1408,67,960x1728,1,60,5,5
smr_avrora,832,640,154,896x704,0,60,5,5
dss8,864,288,34,2880x960,0,60,5,5
dss8_4,864,432,144,864x432,0,60,5,5
soc_moremall_zar,864,432,251,864x432,0,60,5,5
rigamall,880,560,128,880x560,0,60,5,5
moskva,896,704,97,896x704,1,60,5,5
altuf,896,1920,123,960x2016,1,60,5,5
dss9q,900,300,149,2880x960,0,60,5,5
dss9,940,300,55,2880x960,0,60,5,5
dss960_300,960,300,275,2880x960,0,60,5,5
dss960_480,960,480,288,864x432,0,60,5,5
vrz,960,960,120,,0,60,5,5
kons,960,988,112,,0,60,5,5
tulsk_b,960,1248,135,720x760,1,60,5,5
hbr_pushkin_40,960,1408,255,960x1408,0,60,5,5
gorod_a,960,1728,129,960x1728,0,60,5,5
slt,960,2016,33,960x2016,1,60,5,5
nnd_komsomol1a_corn,1024,896,210,,0,60,5,5
silikat,1024,1120,124,720x760,1,60,5,5
dss10_5,1056,576,122,1536x864,0,60,5,5
balt40_stella,1056,576,132,1536x864,0,60,5,5
choco,1056,608,103,1536x864,1,60,5,5
dss10_3,1080,360,271,2880x960,0,60,5,5
krd,1080,640,168,1536x864,0,60,5,5
smr_koshelev,1086,1152,167,960x1408,0,60,5,5
tmn,1088,1280,69,720x760,1,60,5,5
vlg,1104,288,26,1104x288,0,60,5,5
nnd,1120,432,31,2880x960,0,60,5,5
hbr_amur,1120,1920,226,960x1728,0,60,5,5
dss11_3,1152,384,200,2880x960,0,60,5,5
dss1152_576,1152,576,268,864x432,0,60,5,5
salaris_s,1152,640,72,1536x864,1,60,5,5
msk_podmoskov_37_mall,1152,640,254,1536x864,0,60,5,5
vld_gogolya_50,1152,864,309,,0,60,5,5
dss11_4,1184,496,245,3200x1472,0,60,5,5
chl_kashir_126,1216,320,305,,0,60,5,5
ekb_radischeva_27,1216,512,248,3200x1472,0,60,5,5
vrs,1248,672,27,,1,60,5,5
spb_leader_tower,1248,936,155,,0,60,5,5
prm,1280,640,68,864x432,1,60,5,5
soc_moremall_don,1280,640,250,864x432,0,60,5,5
kry_respubliki-51,1344,448,286,2880x960,0,60,5,5
bizpark_rumyantsevo,1344,768,148,,0,60,5,5
kmr,1344,6144,212,1344x6144,0,60,5,5
msk_horosho,1376,464,270,,1,60,5,5
kzn,1400,860,191,1536x864,0,60,5,5
him_molodezh,1408,576,169,3200x1472,0,60,5,5
msk_krasnaya_presen_expo,1408,576,249,3200x1472,1,65,8,8
msk_kiev2,1408,768,202,1536x864,0,60,5,5
dss14_t2,1410,450,143,2880x960,0,60,5,5
anapa,1410,450,137,2880x960,0,60,5,5
dss14,1440,480,89,2880x960,0,60,5,5
soc_mira_183b,1440,480,300,2880x960,0,60,5,5
planet5,1440,864,126,1536x864,0,60,5,5
dss15_4,1536,480,163,2880x960,0,60,5,5
dss15_6,1536,640,125,3200x1472,0,60,5,5
him,1536,640,75,3200x1472,0,60,5,5
dss15,1536,672,115,3200x1472,0,60,5,5
dss16_11,1600,1120,256,880x560,0,60,5,5
orb_dzer23,1680,960,213,1536x864,0,60,5,5
avto,1740,280,131,3456x576,1,60,5,5
dss18,1800,600,54,2880x960,0,60,5,5
vld,1920,480,172,1104x288,0,60,5,5
ufa,1920,832,63,3200x1472,0,60,5,5
vrz_20let,1920,1056,190,1536x864,1,60,5,5
riv_b,1952,288,64,3456x576,1,60,5,5
nsk,2088,768,28,2880x960,0,60,5,5
oms,2112,576,160,,0,60,5,5
nsk_gogol_wide,2220,880,266,,1,60,5,5
biz,2304,1600,95,880x560,1,60,5,5
msk_kutuz16,2368,640,220,1104x288,1,60,8,8
